x_coord,D_T
-200.0,3.7108488229590653e-09
-180.0,4.786438096058826e-08
-160.0,1.5791492672380545e-07
-140.0,2.9067495032671713e-07
-120.0,4.1793967029814074e-07
-100.0,5.167006929069834e-07
-80.0,5.865481146381893e-07
-60.0,3.208799768629502e-07
-50.0,7.688677626534145e-08
-40.0,-1.7575698142344957e-07
-30.0,-3.939078220783351e-07
-25.0,-4.910173346221632e-07
-20.0,-7.900321716742451e-07
-15.0,-1.2788380090886073e-06
-10.0,-1.3916249439810752e-06
-5.0,-1.2368030353685466e-06
0.0,-3.3829964351605263e-07
5.0,5.50748760503544e-07
10.0,5.555025687732828e-07
20.0,5.612446296911849e-07
30.0,5.569289558963589e-07
40.0,5.512352247396212e-07
60.0,5.412651942620657e-07
80.0,5.277093058008657e-07
100.0,5.136758891899063e-07
120.0,5.000224430840627e-07
140.0,4.873454918760939e-07
160.0,4.7627089032822507e-07
180.0,4.674960295422247e-07
200.0,4.61512241823176e-07
220.0,4.585520343023924e-07
240.0,4.582329965122423e-07
260.0,4.600976349751579e-07
280.0,4.63437147189667e-07
300.0,4.6744047180071213e-07
320.0,4.719696642644909e-07
340.0,4.7655950114863037e-07
360.0,4.808327232469102e-07
380.0,4.846123258488159e-07
400.0,4.874159043204549e-07
420.0,4.892219445427977e-07
440.0,4.898189114586326e-07
460.0,4.891630793764799e-07
480.0,4.87439040061308e-07
500.0,4.839977976836178e-07
520.0,4.78542788311442e-07
540.0,4.713008890425782e-07
560.0,4.6227598688318334e-07
580.0,4.519926236689508e-07
600.0,4.4121348385866917e-07
620.0,4.3129323873319144e-07
640.0,4.2266592163512567e-07
660.0,4.1604478160937656e-07
680.0,4.124256292362308e-07
700.0,4.1133802796589154e-07
720.0,4.125719903637913e-07
740.0,4.158582443898064e-07
760.0,4.2002325133326057e-07
780.0,4.2402611288742694e-07
800.0,4.276097707748269e-07
820.0,4.306375882006748e-07
840.0,4.334804263456253e-07
860.0,4.365033868299123e-07
880.0,4.397021061440479e-07
900.0,4.4311503263286664e-07
920.0,4.4682072564934907e-07
940.0,4.505117176257941e-07
960.0,4.540554348025301e-07
980.0,4.571584477787817e-07
1000.0,4.60825210403975e-07
1020.0,4.660799066209365e-07
1040.0,4.727441060367943e-07
1060.0,4.807682046018733e-07
1080.0,4.897147534829922e-07
1100.0,4.98158187054282e-07
1120.0,5.044881506083925e-07
1140.0,5.083319438279902e-07
1160.0,5.094133842985134e-07
1180.0,5.083331565536083e-07
1200.0,5.067660221896995e-07
1220.0,5.060042386720867e-07
1240.0,5.086652392946295e-07
1260.0,5.144577042570727e-07
1280.0,5.228478789312803e-07
1300.0,5.322161487176401e-07
1320.0,5.420426299364707e-07
1340.0,5.473371718002339e-07
1360.0,5.50699560657223e-07
1380.0,5.440778672355051e-07
1400.0,5.389004126121473e-07
1420.0,5.171883134160962e-07
1440.0,5.150624497826275e-07
1460.0,4.72572237748851e-07
1480.0,5.710954438262523e-07
1500.0,7.369690311377812e-07
