var,Pe,Reff,normalized_time,norm_time_idx
1,4.98,2.5651973432029718,6.6,61
1,14.94,2.508399064139431,6.6,61
1,25.03,2.476832744263312,6.6,61
1,18.67,2.533419212726565,6.6,61
1,22.41,2.4605103246924545,6.6,61
2,4.98,2.4929912304110946,6.6,61
2,14.94,2.4132405187273926,6.6,61
2,25.03,2.3643875721804832,6.6,61
2,18.67,2.4250105543246705,6.6,61
2,22.41,2.37056996417012,6.6,61
3,4.98,2.4419120569082686,6.6,61
3,14.94,2.3680906613791706,6.6,61
3,25.03,2.318487377921188,6.6,61
3,18.67,2.362234721915581,6.6,61
3,22.41,2.3439944580459717,6.6,61
